time,actor,id,durationOrDestinationId
1320,T,439,2
1320,S,2,12
1321,T,440,-1
1321,T,440,4
1321,S,4,5
1324,T,441,-1
1324,T,441,1
1324,S,1,7
1326,T,442,-1
1326,T,442,0
1326,S,0,6
1328,T,443,-1
1328,T,443,3
1328,S,3,15
1329,T,444,-1
1329,T,444,4
1329,S,4,11
1330,T,445,-1
1331,T,445,1
1331,S,1,7
1333,T,446,-1
1333,T,446,2
1333,S,2,13
1337,T,447,-1
1337,T,447,0
1337,S,0,9
1342,T,448,-1
1342,T,448,1
1342,S,1,7
1343,T,449,-1
1343,T,449,3
1343,S,3,13
1348,T,450,-1
1348,T,450,0
1348,S,0,7
1351,T,451,-1
1351,T,451,1
1351,S,1,6
1352,T,452,-1
1352,T,452,2
1352,S,2,14
1354,T,453,-1
1354,T,453,4
1354,S,4,14
1356,T,454,-1
1356,T,454,3
1356,S,3,10
1361,T,455,-1
1361,T,455,1
1361,S,1,9
1364,T,456,-1
1364,T,456,0
1364,S,0,7
1369,T,457,-1
1369,T,457,3
1369,S,3,8
1370,T,458,-1
1370,T,458,1
1370,S,1,10
1374,T,459,-1
1374,T,459,0
1374,S,0,7
1377,T,460,-1
1377,T,460,2
1377,S,2,6
1379,T,461,-1
1379,T,461,3
1379,S,3,11
1382,T,462,-1
1382,T,462,1
1382,S,1,13
1384,T,463,-1
1384,T,463,0
1384,S,0,14
1389,T,464,-1
1389,T,464,2
1389,S,2,15
1392,T,465,-1
1392,T,465,3
1392,S,3,16
1396,T,466,-1
1396,T,466,1
1396,S,1,13
1397,T,467,-1
1397,T,467,4
1397,S,4,5
1398,T,468,-1
1398,T,468,0
1398,S,0,13
1403,T,469,-1
1403,T,469,4
1403,S,4,11
1404,T,470,-1
1404,T,470,2
1404,S,2,11
1408,T,471,-1
1408,T,471,3
1408,S,3,7
1412,T,472,-1
1412,T,472,1
1412,S,1,7
1416,T,473,-1
1416,T,473,0
1416,S,0,12
1417,T,474,-1
1417,T,474,2
1417,S,2,13
1420,T,475,-1
1420,T,475,3
1420,S,3,12
1425,T,476,-1
1425,T,476,1
1425,S,1,12
1426,T,477,-1
1426,T,477,4
1426,S,4,10
1430,T,478,-1
1430,T,478,0
1430,S,0,12
1431,T,479,-1
1431,T,479,2
1431,S,2,9
1432,T,480,-1
1432,T,480,3
1432,S,3,8
1437,T,481,-1
1437,T,481,1
1437,S,1,15
1439,T,482,-1
1439,T,482,4
1439,S,4,11
1443,T,483,-1
1443,T,483,2
1443,S,2,15
1446,T,484,-1
1446,T,484,3
1446,S,3,7
1451,T,485,-1
1451,T,485,0
1451,S,0,9
1453,T,486,-1
1453,T,486,3
1453,S,3,7
1458,T,487,-1
1458,T,487,1
1458,S,1,9
1462,T,488,-1
1462,T,488,0
1462,S,0,7
1466,T,489,-1
1466,T,489,3
1466,S,3,11
1470,T,490,-1
1470,T,490,1
1470,S,1,7
1473,T,491,-1
1473,T,491,0
1473,S,0,5
1478,T,492,-1
1478,T,492,1
1478,S,1,11
1482,T,493,-1
1482,T,493,3
1482,S,3,12
1484,T,494,-1
1484,T,494,0
1484,S,0,6
1486,T,495,-1
1486,T,495,2
1486,S,2,12
1487,T,496,-1
1487,T,496,4
1487,S,4,11
1490,T,497,-1
1490,T,497,0
1490,S,0,12
1492,T,498,-1
1492,T,498,1
1492,S,1,11
1494,T,499,-1
1494,T,499,3
1494,S,3,13
1496,T,500,-1
1498,T,500,2
1498,S,2,8
1500,T,501,-1
1500,T,501,4
1500,S,4,9
1502,T,502,-1
1502,T,502,0
1502,S,0,11
1503,T,503,-1
1503,T,503,1
1503,S,1,8
1506,T,504,-1
1506,T,504,2
1506,S,2,6
1507,T,505,-1
1507,T,505,3
1507,S,3,15
1511,T,506,-1
1511,T,506,1
1511,S,1,16
1514,T,507,-1
1514,T,507,0
1514,S,0,11
1516,T,508,-1
1516,T,508,2
1516,S,2,14
1519,T,509,-1
1519,T,509,4
1519,S,4,14
1523,T,510,-1
1523,T,510,3
1523,S,3,6
1525,T,511,-1
1525,T,511,0
1525,S,0,11
1526,T,512,-1
1527,T,512,1
1527,S,1,7
1528,T,513,-1
1529,T,513,3
1529,S,3,11
1530,T,514,-1
1530,T,514,2
1530,S,2,5
1533,T,515,-1
1533,T,515,4
1533,S,4,5
1538,T,516,-1
1538,T,516,1
1538,S,1,14
1540,T,517,-1
1540,T,517,3
1540,S,3,11
1544,T,518,-1
1544,T,518,2
1544,S,2,14
